time; right; left
4115657.5979995728;0;0
5108636.406000137;0;0
6115834.667999268;0;0
7107268.190000534;2103;1230
8115866.51199913;1651;779
9108235.75300026;1309;456
10116224.399999619;1843;1334
11107202.763999939;1393;884
12115735.619001389;925;416
13108589.743999481;-151;-277
14116489.679000854;-286;-281
15108111.592000961;-112;-117
16114863.775001526;-60;-56
17107729.843000412;-8;-13
18114916.40099907;-26;-21
19107068.10700035;8;3
20114928.45600128;-8;-3
21106956.98200035;8;3
22116434.23500061;-8;-3
23107678.537000656;8;3
24115708.162000656;-8;-3
25106967.62299919;8;3
26115790.515001297;-8;-3
27109315.50399971;8;3
time; right; left
44324536.733000755;0;0
45331645.89400005;0;0
46324526.82300186;0;0
47330824.65000057;0;0
48322794.34300041;0;0
49331219.39500046;0;0
50323706.79199982;0;0
51331300.17399979;0;0
52322768.44500065;0;0
53332158.6600008;0;0
54324694.6079998;0;0
55332889.73200035;0;0
56325814.32800007;0;0
57331042.36100006;0;0
58324809.12100029;0;0
59332182.690000534;0;0
60325701.368000984;0;0
61332875.89000034;0;0
62323992.07800007;0;0
63332701.73999977;0;0
64323423.62000084;0;0
65333352.08600044;0;0
66322863.32900047;0;0
67331526.74699974;0;0
68322667.9630003;0;0
69332083.1400013;0;0
70322903.19500065;0;0
71331143.43400097;0;0
72323935.55400085;0;0
73331267.56900024;0;0
74323461.6800003;0;0
75332572.56300068;0;0
76324393.28299999;0;0
77331528.33500004;0;0
78324467.06100082;0;0
79333285.1260004;0;0
80324382.09800053;0;0
81331779.96199894;0;0
82322744.38500023;0;0
83331658.06000042;0;0
84324483.6230011;0;0
85332816.25700092;0;0
86324451.20400047;0;0
87331104.8390007;0;0
88324419.7670002;0;0
89332318.82500076;0;0
90324114.46600056;0;0
91331560.51300049;0;0
92324898.8180008;0;0
93331660.68799973;0;0
94323323.99300098;0;0
95330639.85599995;0;0
96322726.7880001;0;0
97331013.07300186;0;0
98324872.09399986;0;0
99331528.72500038;0;0
100324202.39800072;0;0
101330859.9090004;0;0
102323018.06200027;0;0
103332334.12699986;0;0
104324511.18900013;0;0
105330921.75800037;0;0
106322849.57000065;0;0
107331497.44200039;0;0
108323015.75;0;0
109331528.70100021;0;0
110322813.8920002;0;0
111330972.57400036;0;0
112322689.08300018;0;0
113332298.31600094;0;0
114324664.37300014;0;0
115332039.2659998;0;0
116323248.97500038;0;0
117330654.88199997;0;0
118323077.67099953;0;0
119332683.88000011;0;0
120323030.2300005;0;0
121332947.9630003;0;0
122324818.04600048;0;0
123331355.58100033;0;0
124322832.05000019;0;0
125331316.41100025;0;0
126325018.15600014;0;0
127332635.86600113;0;0
128324841.48800087;0;0
129331252.3380003;0;0
130324805.80400085;0;0
131332588.51500034;0;0
132324123.71800041;0;0
133332880.32800007;0;0
134323233.75800037;0;0
135331546.74100018;0;0
136325271.79200077;0;0
137330864.37800026;0;0
138323521.48900032;0;0
139332493.43700027;0;0
140324506.17300034;0;0
141332816.50600052;0;0
142324265.67199993;0;0
143332211.31299973;0;0
144322682.85300064;0;0
145330844.81900024;0;0
146323622.83100033;0;0
147331095.11600018;0;0
148323121.96900082;0;0
149333120.0130005;0;0
150323235.81000042;0;0
151331651.68900013;0;0
152324754.97100067;0;0
153331484.0560007;0;0
154323976.6930008;0;0
155332582.6920004;0;0
156323515.81500053;0;0
157332242.63700104;0;0
158323210.90200043;0;0
159330638.3529997;0;0
160324986.56300068;0;0
161332327.23800087;0;0
162324318.43900013;0;0
163332017.71100044;0;0
164322805.37300014;0;0
165333442.13700008;0;0
166323139.92199993;0;0
167331102.6999998;0;0
168324997.9100008;0;0
169332747.58300018;0;0
170324422.76799965;0;0
171333422.783;0;0
172324740.40000057;0;0
173332647.92400074;0;0
174323038.10000038;0;0
175331794.1289997;0;0
176323299.15200043;0;0
177330778.32500076;0;0
178324501.39500046;0;0
179331103.04699993;0;0
180323202.64100075;0;0
181332541.57800007;0;0
182324252.72599983;0;0
183332954.33500004;0;0
184324362.43400097;0;0
185332669.43200016;0;0
186324528.23200035;0;0
187331234.33500004;0;0
188323319.47300053;0;0
189333411.283;0;0
190324815.2180004;0;0
191332093.02000046;0;0
192325381.32999992;0;0
193331489.81400013;0;0
194322781.0170002;0;0
195330796.72700024;0;0
196324708.40800095;0;0
197331486.31099987;0;0
198325095.21399975;0;0
199332737.74100113;0;0
200325857.56499958;0;0
201331044.18300056;0;0
202324427.2150011;0;0
203331392.33700085;0;0
204324571.1090002;0;0
205332255.88199997;0;0
206325463.35300064;0;0
207332461.47200108;0;0
208323609.52400017;0;0
209332123.54699993;0;0
210325295.07900047;0;0
211331399.58700085;0;0
212323110.71000004;0;0
213331623.2180004;0;0
214323219.4640007;0;0
215332551.88700104;0;0
216325120.72300053;0;0
217332760.1600008;0;0
218323283.49800014;0;0
219332291.05200005;0;0
220323701.11800003;0;0
221332307.8970003;0;0
222323231.26500034;0;0
223332554.98300076;0;0
224323060.3590002;0;0
225331475.07400036;0;0
226322813.08700085;0;0
227331156.92100048;0;0
228323214.88199997;0;0
229330979.59200096;0;0
230324785.29500008;0;0
231332890.5890007;0;0
232323245.1300001;0;0
233331528.80300045;0;0
234323076.41800022;0;0
235333620.7680006;0;0
236325273.7180004;0;0
237331127.52700043;0;0
238324897.95699978;0;0
239331590.4590006;0;0
240324978.43400097;0;0
241331236.3760004;0;0
242322928.4630003;0;0
243333211.5150013;0;0
244323734.7680006;0;0
245330741.6640005;0;0
246325081.65000057;0;0
247330920.36600018;0;0
248324282.91900063;0;0
249331217.27799892;0;0
250324328.04800034;0;0
251332449.7680006;0;0
252324788.49100018;0;0
253331533.3720007;0;0
254324916.42199993;0;0
255331353.54300022;0;0
256325601.86499977;0;0
257332079.93900013;0;0
258324750.98499966;0;0
259332050.36500072;0;0
260324773.8770008;0;0
261331204.52300072;0;0
262324914.31599998;0;0
263333172.7350006;0;0
264324711.48800087;0;0
265333311.84200096;0;0
266322854.5180006;0;0
267330776.1289997;0;0
268323063.74000072;0;0
269332290.73700047;0;0
270323271.7550001;0;0
271333213.86900043;0;0
272322732.87000084;0;0
273333370.0840006;0;0
274324579.4169998;0;0
275332850.35700035;0;0
276324879.89900017;0;0
277332770.13000107;0;0
278323225.9960003;0;0
279332569.11800003;0;0
280324731.1220007;0;0
281331746.75400066;0;0
282324753.74900055;0;0
283332613.35600185;0;0
284324820.8710003;0;0
285331670.7600002;0;0
286323085.2470007;0;0
287331311.71899986;0;0
288323426.4549999;0;0
289331033.2480011;0;0
290324911.2750006;0;0
291332537.6880007;0;0
292322900.48099995;0;0
293331138.03300095;0;0
294323024.5900011;0;0
295332768.0940008;0;0
296324602.11200047;0;0
297330818.66600037;0;0
298323968.7300005;0;0
299332598.57400036;0;0
300323370.3650007;0;0
301333165.3220005;0;0
302322902.092;0;0
303332720.8840008;0;0
304323671.1040001;0;0
305331351.783;0;0
306323239.68300056;0;0
307332891.30400085;0;0
308324504.28300095;0;0
309332433.7680006;0;0
310323350.50300026;0;0
311331309.467;0;0
312323703.644001;0;0
313332501.66300106;0;0
314322792.3650007;0;0
315330992.1890011;0;0
316324147.6050005;0;0
317330959.2770004;0;0
318324808.9170008;0;0
319331143.6710005;0;0
320323388.6470003;0;0
321331064.986001;0;0
322323428.8720007;0;0
323333301.7140007;0;0
324325032.5680008;0;0
325333082.99499893;0;0
326324339.44800186;0;0
327331238.12300014;0;0
328324945.94900036;0;0
329330980.7410011;0;0
330324783.32400036;0;0
331332775.92500114;0;0
332323659.3010006;0;0
333331350.1970005;0;0
334324511.5810003;0;0
335332304.0550003;0;0
336324631.25699997;0;0
337333015.29699993;0;0
338323141.7530012;0;0
339330841.6010008;0;0
340322929.1750002;0;0
341332893.8670006;0;0
342323141.72000027;0;0
343330795.1409998;0;0
344324976.7530012;0;0
345332448.8330002;0;0
346325022.1370001;0;0
347331586.97000027;0;0
348323789.0670004;0;0
349331176.14000034;0;0
350323525.6350002;0;0
351333023.7770004;0;0
352324461.17900085;0;0
353333027.9590006;0;0
354323202.5819998;0;0
355332195.5070009;0;0
356324596.5840006;0;0
357333434.59500027;0;0
358323007.7510004;0;0
359331877.03600025;0;0
360325060.7020006;0;0
361330844.91600037;0;0
362324809.58700085;0;0
363332789.17199993;0;0
364323452.7620001;0;0
365332087.93300056;0;0
366325006.10200024;0;0
367331631.5609999;0;0
368323380.22900105;0;0
369332552.64600086;0;0
370323574.05300045;0;0
371332409.14400005;0;0
372324136.79900074;0;0
373332959.01399994;0;0
374324406.75;0;0
375332313.80000114;0;0
376325137.71200085;0;0
377332120.809;0;0
378324985.40700054;0;0
379332742.6140003;0;0
380325243.4029989;0;0
381332176.47700024;0;0
382324709.3800001;0;0
383330888.29100037;0;0
384324515.1150007;0;0
385331137.2779989;0;0
386324643.7600002;0;0
387332726.5240011;0;0
388324424.6920004;0;0
389332245.78200054;0;0
390323530.4899998;0;0
391333300.3600006;0;0
392324763.67900085;0;0
393332338.54100037;0;0
394324684.39100075;0;0
395331351.9260006;0;0
396325574.21399975;0;0
397333343.86100006;0;0
398322623.677001;0;0
399331012.9640007;0;0
400322951.64600086;0;0
401331309.2600002;0;0
402322976.8800001;0;0
403333035.8190012;0;0
404324783.06600094;0;0
405331240.3839998;0;0
406322740.2399998;0;0
407330960.91100025;0;0
408322933.56500053;0;0
409332512.82299995;0;0
410323134.50699997;0;0
411331526.7049999;0;0
412324503.55800056;0;0
413332619.22800064;0;0
414324289.0980005;0;0
415331992.80200005;0;0
416323361.14500046;0;0
417331205.40700054;0;0
418323334.5819998;0;0
419331320.1500006;0;0
420325481.54100037;0;0
423164827.6480007;0;0
424206614.9239998;0;0
425259792.05900097;0;0
426299913.96100044;0;0
427324414.79100037;0;0
428315973.82000065;0;0
429325028.96100044;0;0
430455326.82199955;0;0
431318175.3470001;0;0
432327201.11300087;0;0
433319738.5250006;0;0
434327439.7720003;0;0
435319965.38700104;0;0
436327951.361001;0;0
437319340.4580002;0;0
438327644.53600025;0;0
439320429.401;0;0
440326787.73700047;0;0
441318618.47599983;0;0
442327543.44000053;0;0
443317627.3199997;0;0
444327565.6020012;0;0
445320225.2589998;0;0
446327398.96100044;0;0
447319328.5880003;0;0
448327288.2340002;0;0
449317974.1000004;0;0
450326014.8670006;0;0
451317789.9399996;0;0
452326875.34000015;0;0
453318054.68200016;0;0
454327196.19100094;0;0
455318514.5890007;0;0
456326139.79699993;0;0
457319520.34900093;0;0
458327327.6310005;0;0
459318239.72000027;0;0
460327764.40999985;0;0
461319325.67300034;0;0
462327600.45899963;0;0
463320155.34500027;0;0
464328300.1370001;0;0
465319906.1000004;0;0
466328207.8820009;0;0
467319490.9140005;0;0
468328363.29500103;0;0
469317996.93300056;0;0
470325730.0790005;0;0
471318659.50300026;0;0
472327705.16399956;0;0
473319783.0300007;0;0
474327720.22700024;0;0
475318763.6000004;0;0
476327158.9890003;0;0
477320021.2790003;0;0
478326273.24400043;0;0
479318450.9829998;0;0
480326404.2040005;0;0
481317993.5600004;0;0
482327512.17700005;0;0
483320031.00500107;0;0
484325895.41500187;0;0
485317879.8170004;0;0
486327575.4130001;0;0
487317875.17300034;0;0
488326863.8000002;0;0
489320372.85099983;0;0
490327420.0900011;0;0
491320432.61300087;0;0
492326180.210001;0;0
493317829.0710001;0;0
494325960.99900055;0;0
495318005.5670004;0;0
